title,author,lenght
Dune,By: Frank Herbert,Length: 21 hrs and 2 mins
Red Rising,By: Pierce Brown,Length: 16 hrs and 12 mins
The 7 Habits of Highly Effective People,By: Stephen R. Covey,Length: 13 hrs and 4 mins
The Way of Kings,By: Brandon Sanderson,Length: 45 hrs and 30 mins
The Eye of the World,By: Robert Jordan,Length: 29 hrs and 57 mins
A Game of Thrones,By: George R.R. Martin,Length: 33 hrs and 46 mins
Golden Son,By: Pierce Brown,Length: 19 hrs and 3 mins
The Lightning Thief,By: Rick Riordan,Length: 10 hrs and 2 mins
Start with Why,By: Simon Sinek,Length: 7 hrs and 18 mins
Astor,"By: Anderson Cooper, Katherine Howe",Length: 8 hrs and 19 mins
My Name Is Barbra,By: Barbra Streisand,Length: 47 hrs
The Seven Husbands of Evelyn Hugo,By: Taylor Jenkins Reid,Length: 12 hrs and 10 mins
Never Split the Difference,By: Chris Voss,Length: 8 hrs and 7 mins
Extreme Ownership,"By: Jocko Willink, Leif Babin",Length: 9 hrs and 33 mins
Behind the Doors of Justice,"By: Rebecca H. Hill, Neil Gordon",Length: 4 hrs and 31 mins
Think and Grow Rich,By: Napoleon Hill,Length: 9 hrs and 35 mins
The Nightingale,By: Kristin Hannah,Length: 17 hrs and 19 mins
Sapiens,By: Yuval Noah Harari,Length: 15 hrs and 18 mins
The Untethered Soul,By: Michael A. Singer,Length: 6 hrs and 11 mins
Breaking Biden,By: Alex Marlow,Length: 14 hrs and 1 min
The Vaster Wilds,By: Lauren Groff,Length: 7 hrs and 5 mins
48 Laws of Power,By: Robert Greene,Length: 23 hrs and 6 mins
The Democrat Party Hates America,By: Mark R. Levin,Length: 11 hrs and 21 mins
Making It So,By: Patrick Stewart,Length: 16 hrs and 30 mins
The Chaos Agent,By: Mark Greaney,Length: Not Yet Known
Payback in Death,By: J. D. Robb,Length: 13 hrs and 54 mins
The Alchemist,By: Paulo Coelho,Length: 4 hrs
Born a Crime,By: Trevor Noah,Length: 8 hrs and 44 mins
Blood Lines,"By: Nelson DeMille, Alex DeMille",Length: 19 hrs and 26 mins
American Prometheus,"By: Kai Bird, Martin J. Sherwin",Length: 26 hrs and 30 mins
Prequel,By: Rachel Maddow,Length: 15 hrs
How to Talk to Anyone,By: Leil Lowndes,Length: 8 hrs and 59 mins
The Covenant of Water,By: Abraham Verghese,Length: 31 hrs and 16 mins
"Harry Potter and the Sorcerer's Stone, Book 1",By: J.K. Rowling,Length: 8 hrs and 18 mins
The Untitled Books,By: C.J. Archer,Length: 7 hrs and 59 mins
Empire of Storms,By: Sarah J. Maas,Length: 25 hrs and 18 mins
Words of Radiance,By: Brandon Sanderson,Length: 48 hrs and 13 mins
Emotional Intelligence 2.0,"By: Travis Bradberry, Jean Greaves",Length: 4 hrs and 17 mins
All the Light We Cannot See,By: Anthony Doerr,Length: 16 hrs and 2 mins
A Bagged Body,By: Eryn Scott,Length: 5 hrs and 29 mins
"XOXO, Cody",By: Cody Rigsby,Length: 6 hrs and 12 mins
November 9,By: Colleen Hoover,Length: 9 hrs and 46 mins
The Devil in the White City,By: Erik Larson,Length: 14 hrs and 58 mins
Nightlord: Penumbra,By: Garon Whited,Length: 44 hrs and 12 mins
The Legend of Randidly Ghosthound 5,"By: Noret Flood, puddles4263",Length: 29 hrs and 58 mins
The Rose in Darkness,By: Danie Ware,Length: 13 hrs and 6 mins
Shattered Truths,"By: H. Hunting, Helena Hunting",Length: 10 hrs and 52 mins
The Shining,By: Stephen King,Length: 15 hrs and 50 mins
Take Charge of Your Life,By: Brian Tracy,Length: 6 hrs and 14 mins
To Kill a Mockingbird,By: Harper Lee,Length: 12 hrs and 17 mins
Artemis,By: Andy Weir,Length: 8 hrs and 57 mins
Government Gangsters,By: Kash Pramod Patel,Length: 8 hrs and 1 min
God of Ruin,By: Rina Kent,Length: 14 hrs and 4 mins
Dungeon Heroes,"By: Shane Hammond, Marcus Sloss",Length: 14 hrs and 43 mins
His Main Attraction: Elite Alliance,By: Stephanie Nicole Norris,Length: 5 hrs and 55 mins
Hidden Potential,By: Adam Grant,Length: 12 hrs
The ChatGPT Advantage,By: Diana Sterling,Length: 12 hrs and 33 mins
Amelia the Level Zero Hero 2: A LitRPG Adventure,By: V.A. Lewis,Length: 15 hrs and 50 mins
The Last Wish,By: Andrzej Sapkowski,Length: 10 hrs and 17 mins
We Are Legion (We Are Bob),By: Dennis E. Taylor,Length: 9 hrs and 56 mins
Hardwired,By: Mike Ryan,Length: 4 hrs and 45 mins
The Secret,By: Rhonda Byrne,Length: 4 hrs and 24 mins
The 5 Second Rule,By: Mel Robbins,Length: 7 hrs and 35 mins
The Hitchhiker's Guide to the Galaxy,By: Douglas Adams,Length: 5 hrs and 51 mins
The Song of Achilles,By: Madeline Miller,Length: 11 hrs and 15 mins
Principles,By: Ray Dalio,Length: 16 hrs and 5 mins
Why We Sleep,By: Matthew Walker,Length: 13 hrs and 52 mins
"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich (Expanded and Updated)",By: Timothy Ferriss,Length: 13 hrs and 1 min
"Boundaries, Updated and Expanded Edition","By: John Townsend, Henry Cloud",Length: 11 hrs and 18 mins
The Titan of Baleros,By: pirateaba,Length: 41 hrs and 16 mins
Eragon,By: Christopher Paolini,Length: 16 hrs and 22 mins
The Name of the Wind,By: Patrick Rothfuss,Length: 27 hrs and 55 mins
Learn Spanish with Paul Noble for Beginners – Complete Course,By: Paul Noble,Length: 13 hrs and 21 mins
Kasher in the Rye,By: Moshe Kasher,Length: 8 hrs and 43 mins
"The Word of Promise Audio Bible—New King James Version, NKJV: Complete Bible",By: Thomas Nelson Inc.,Length: 98 hrs and 1 min
Ready Player One,By: Ernest Cline,Length: 15 hrs and 40 mins
One Second After,By: William R. Forstchen,Length: 13 hrs and 17 mins
It Ends with Us,By: Colleen Hoover,Length: 11 hrs and 11 mins
The Ashes and the Star-Cursed King,By: Carissa Broadbent,Length: 14 hrs and 46 mins
A Court of Silver Flames (Part 1 of 2) (Dramatized Adaptation),By: Sarah J. Maas,Length: 10 hrs
Doppelganger,By: Naomi Klein,Length: 14 hrs and 47 mins
Good to Great,By: Jim Collins,Length: 10 hrs and 1 min
Traction,By: Gino Wickman,Length: 6 hrs and 56 mins
A Feast for Crows,By: George R.R. Martin,Length: 33 hrs and 51 mins
A Dance with Dragons,By: George R.R. Martin,Length: 48 hrs and 55 mins
A Thousand Places Left Behind,"By: Peter K. Lutken Jr., E. R. Lutken",Length: 10 hrs and 45 mins
Be Useful,By: Arnold Schwarzenegger,Length: 6 hrs and 19 mins
Atomic Habits,By: James Clear,Length: 5 hrs and 35 mins
One Last Rainy Day: The Legacy of a Prince,By: Kate Stewart,Length: 12 hrs and 36 mins
Esrahaddon,By: Michael J. Sullivan,Length: 29 hrs and 32 mins
"Defiance of the Fall, Book 10","By: TheFirstDefier, JF Brink",Length: 20 hrs and 8 mins
The Total Money Makeover,By: Dave Ramsey,Length: 3 hrs and 41 mins
The Five Dysfunctions of a Team,By: Patrick Lencioni,Length: 3 hrs and 42 mins
One Last Kill,By: Robert Dugoni,Length: 10 hrs and 24 mins
Dante,By: Sadie Kincaid,Length: 9 hrs and 20 mins
Morning Star,By: Pierce Brown,Length: 21 hrs and 50 mins
The Hidden Roots of White Supremacy,By: Robert P. Jones,Length: 11 hrs and 23 mins
A Court of Mist and Fury,By: Sarah J. Maas,Length: 23 hrs and 16 mins
Fahrenheit 451,By: Ray Bradbury,Length: 5 hrs and 1 min
Too Late,By: Colleen Hoover,Length: 10 hrs and 19 mins
Third Eye,By: Felicia Day,Length: 6 hrs and 57 mins
The Brood,By: Devney Perry,Length: 7 hrs and 50 mins
Maybe Someday,By: Colleen Hoover,Length: 10 hrs and 40 mins
The Heaven & Earth Grocery Store,By: James McBride,Length: 12 hrs and 21 mins
When Breath Becomes Air,"By: Paul Kalanithi, Abraham Verghese - foreword",Length: 5 hrs and 35 mins
A Court of Wings and Ruin,By: Sarah J. Maas,Length: 25 hrs and 9 mins
"Harry Potter and the Goblet of Fire, Book 4",By: J.K. Rowling,Length: 20 hrs and 36 mins
Keep It in the Family,By: John Marrs,Length: 10 hrs and 3 mins
"Change Your Thoughts, Change Your Life",By: Dr. Wayne W. Dyer,Length: 9 hrs and 9 mins
Dragonfly in Amber,By: Diana Gabaldon,Length: 38 hrs and 54 mins
Before We Were Yours,By: Lisa Wingate,Length: 14 hrs and 29 mins
Bishop's Flight,By: Elizabeth Hunter,Length: 6 hrs and 42 mins
The Book on Rental Property Investing,By: Brandon Turner,Length: 11 hrs and 38 mins
The Fellowship of the Ring,By: J. R. R. Tolkien,Length: 19 hrs and 7 mins
"Harry Potter and the Order of the Phoenix, Book 5",By: J.K. Rowling,Length: 26 hrs and 28 mins
"Harry Potter and the Half-Blood Prince, Book 6",By: J.K. Rowling,Length: 18 hrs and 32 mins
"Harry Potter and the Deathly Hallows, Book 7",By: J.K. Rowling,Length: 21 hrs and 36 mins
Rowan,"By: Robin D. Mahle, Elle Madison",Length: 32 hrs and 40 mins
Change Your Brain Every Day,By: Daniel Amen,Length: 15 hrs and 8 mins
The Stand,By: Stephen King,Length: 47 hrs and 47 mins
A Short History of Nearly Everything,By: Bill Bryson,Length: 18 hrs and 13 mins
Lord of the Flies,By: William Golding,Length: 6 hrs and 35 mins
"Harry Potter and the Chamber of Secrets, Book 2",By: J.K. Rowling,Length: 9 hrs and 2 mins
A Fire in the Flesh,By: Jennifer L. Armentrout,Length: 24 hrs
Braiding Sweetgrass,By: Robin Wall Kimmerer,Length: 16 hrs and 44 mins
Man's Search for Meaning,By: Viktor E. Frankl,Length: 4 hrs and 44 mins
Vainglorious,By: Sandy Mitchell,Length: 8 hrs and 35 mins
Dark Matter,By: Blake Crouch,Length: 10 hrs and 8 mins
The Intelligent Investor Rev Ed.,By: Benjamin Graham,Length: 17 hrs and 48 mins
How Not to Age,By: Michael Greger M.D. FACLM,Length: 14 hrs and 1 min
The Gray Man,By: Mark Greaney,Length: 11 hrs and 11 mins
The Dark Tower I,By: Stephen King,Length: 7 hrs and 20 mins
Can't Hurt Me,By: David Goggins,Length: 13 hrs and 37 mins
10x Is Easier than 2x,"By: Dan Sullivan, Dr. Benjamin Hardy",Length: 9 hrs and 58 mins
The Land: Founding: A LitRPG Saga,By: Aleron Kong,Length: 9 hrs and 49 mins
Rich Dad Poor Dad,By: Robert T. Kiyosaki,Length: 6 hrs and 9 mins
First Strike,By: Craig Alanson,Length: 16 hrs and 37 mins
Profit First,By: Mike Michalowicz,Length: 7 hrs and 52 mins
The Coming Wave,"By: Mustafa Suleyman, Michael Bhaskar - contributor",Length: 11 hrs and 48 mins
Social Justice Fallacies,By: Thomas Sowell,Length: 6 hrs and 9 mins
A Gentleman in Moscow,By: Amor Towles,Length: 17 hrs and 52 mins
The Blade Itself,By: Joe Abercrombie,Length: 22 hrs and 15 mins
The Rise and Fall of the Third Reich,By: William L. Shirer,Length: 57 hrs and 11 mins
Bright Young Women,By: Jessica Knoll,Length: 12 hrs and 58 mins
Mother-Daughter Murder Night,By: Nina Simon,Length: 12 hrs and 38 mins
The Ritual,By: Shantel Tessier,Length: 16 hrs and 46 mins
Are We There Yet?,By: Jeff Allen,Length: 4 hrs and 42 mins
Light Bringer,By: Pierce Brown,Length: 30 hrs and 8 mins
The Sea of Monsters,By: Rick Riordan,Length: 7 hrs and 55 mins
It Didn't Start with You,By: Mark Wolynn,Length: 8 hrs and 16 mins
After That Night,By: Karin Slaughter,Length: 16 hrs and 34 mins
A Soul of Ash and Blood,By: Jennifer L. Armentrout,Length: 19 hrs and 43 mins
Dead Mountain,"By: Douglas Preston, Lincoln Child",Length: 12 hrs and 20 mins
Scarcity Brain,By: Michael Easter,Length: 10 hrs
From a Certain Point of View: Return of the Jedi (Star Wars),"By: Olivie Blake, Saladin Ahmed, Charlie Jane Anders, Fran Wilde, Mary Kenney, Mike Chen",Length: 19 hrs and 36 mins
Fast Like a Girl,By: Dr. Mindy Pelz,Length: 8 hrs and 13 mins
The Well of Ascension,By: Brandon Sanderson,Length: 28 hrs and 56 mins
It,By: Stephen King,Length: 44 hrs and 55 mins
The Power of Habit,By: Charles Duhigg,Length: 11 hrs and 10 mins
On Writing,By: Stephen King,Length: 9 hrs and 7 mins
Out of Nowhere,By: Sandra Brown,Length: 10 hrs
1984,By: George Orwell,Length: 11 hrs and 22 mins
A Court of Thorns and Roses,By: Sarah J. Maas,Length: 16 hrs and 7 mins
The Millionaire Next Door,"By: Thomas J. Stanley Ph.D., William D. Danko Ph.D.",Length: 8 hrs and 16 mins
Essentialism,By: Greg McKeown,Length: 6 hrs and 14 mins
The Silmarillion,"By: J. R. R. Tolkien, Christopher Tolkien",Length: 19 hrs and 24 mins
Star Wars: Heir to the Empire,By: Timothy Zahn,Length: 13 hrs and 9 mins
None of This Is True,By: Lisa Jewell,Length: 10 hrs and 13 mins
Press Releases & Puff Pieces,By: Amanda M. Lee,Length: 8 hrs and 22 mins
Song of Darkness,"By: J.N. Chaney, Terry Maggert",Length: 11 hrs and 31 mins
The Scottish Ladies' Detective Agency,By: Lydia Travers,Length: 9 hrs and 37 mins
Adversity for Sale,By: Jeezy,Length: 7 hrs and 46 mins
Gambler,By: Billy Walters,Length: 10 hrs and 56 mins
The Women,By: Kristin Hannah,Length: 15 hrs
System Collapse,By: Martha Wells,Length: 6 hrs and 45 mins
The Art of Extraordinary Confidence,By: Dr. Aziz Gazipura PsyD,Length: 13 hrs and 20 mins
The Fireground,By: Dervla McTiernan,Length: 7 hrs and 55 mins
The Breakaway,By: Jennifer Weiner,Length: 13 hrs and 30 mins
"Harry Potter and the Prisoner of Azkaban, Book 3",By: J.K. Rowling,Length: 11 hrs and 49 mins
A Storm of Swords,By: George R.R. Martin,Length: 47 hrs and 34 mins
The Longmire Defense,By: Craig Johnson,Length: 9 hrs and 43 mins
Shoe Dog,By: Phil Knight,Length: 13 hrs and 21 mins
A People's History of the United States,By: Howard Zinn,Length: 34 hrs and 8 mins
A Clash of Kings,By: George R.R. Martin,Length: 37 hrs and 12 mins
A New Earth,By: Eckhart Tolle,Length: 9 hrs and 12 mins
The Battle of the Labyrinth,By: Rick Riordan,Length: 10 hrs and 31 mins
The Last Olympian,By: Rick Riordan,Length: 11 hrs
Norse Mythology,By: Neil Gaiman,Length: 6 hrs and 29 mins
Voyager,By: Diana Gabaldon,Length: 43 hrs and 46 mins
ChatGPT Made Simple,By: Brian Yin,Length: 15 hrs and 45 mins
"Sure, I'll Join Your Cult",By: Maria Bamford,Length: 7 hrs and 40 mins
The Serpent and the Wings of Night,By: Carissa Broadbent,Length: 15 hrs and 4 mins
Learn Mexican Spanish in Your Car Like Never Before!,By: Jackson Bennett,Length: 1 hr and 33 mins
Happiness Falls (Good Morning America Book Club),By: Angie Kim,Length: 13 hrs and 4 mins
The Obstacle Is the Way,By: Ryan Holiday,Length: 4 hrs and 38 mins
Beginner Gardening with Kids,By: Lorie Eubank,Length: 3 hrs and 32 mins
Children of Time,By: Adrian Tchaikovsky,Length: 16 hrs and 31 mins
Leviathan Wakes,By: James S. A. Corey,Length: 20 hrs and 56 mins
Twilight,By: Stephenie Meyer,Length: 12 hrs and 51 mins
World War Z: The Complete Edition,By: Max Brooks,Length: 12 hrs and 9 mins
Magic Tree House Collection: Books 1-8,By: Mary Pope Osborne,Length: 6 hrs and 1 min
Rising Strong,By: Brené Brown,Length: 8 hrs and 51 mins
Money: Master the Game,By: Tony Robbins,Length: 21 hrs and 3 mins
And Then There Were None,By: Agatha Christie,Length: 6 hrs and 1 min
How Not to Die,"By: Michael Greger MD FACLM, Gene Stone",Length: 17 hrs and 9 mins
Good Bad Girl,By: Alice Feeney,Length: 9 hrs and 21 mins
"Not Forever, but for Now",By: Chuck Palahniuk,Length: 8 hrs and 37 mins
Outliers,By: Malcolm Gladwell,Length: 7 hrs and 18 mins
The Girl Next Door,By: Lorhainne Eckhart,Length: 3 hrs and 33 mins
The Power of Broke,"By: Daymond John, Daniel Paisner",Length: 8 hrs and 44 mins
The Obesity Code,By: Dr. Jason Fung,Length: 10 hrs and 9 mins
The Daily Stoic,"By: Ryan Holiday, Stephen Hanselman",Length: 10 hrs and 6 mins
Quiet,By: Susan Cain,Length: 10 hrs and 39 mins
The ONE Thing,"By: Gary Keller, Jay Papasan",Length: 5 hrs and 28 mins
The Magic of Thinking Big,By: David Schwartz,Length: 9 hrs and 31 mins
Building a StoryBrand,By: Donald Miller,Length: 4 hrs and 56 mins
The Handmaid's Tale,By: Margaret Atwood,Length: 11 hrs and 1 min
Arcanist,By: Seth Ring,Length: 14 hrs and 19 mins
Meditations,"By: Marcus Aurelius, George Long - translator, Duncan Steen - translator",Length: 5 hrs and 9 mins
Ugly Love,By: Colleen Hoover,Length: 9 hrs and 14 mins
Dark Future,"By: Glenn Beck, Justin Trask Haskins",Length: 16 hrs and 5 mins
The Deal,By: Elle Kennedy,Length: 12 hrs and 26 mins
Wildflower,By: Drew Barrymore,Length: 7 hrs and 5 mins
Edge of the Woods: An Epic Fantasy Adventure,By: Andrew Rowe,Length: 20 hrs and 10 mins
The Emperor's Gift,By: Aaron Dembski-Bowden,Length: 12 hrs and 27 mins
Talking to Strangers,By: Malcolm Gladwell,Length: 8 hrs and 42 mins
The Dutch House,By: Ann Patchett,Length: 9 hrs and 53 mins
The Hunger Games: Special Edition,By: Suzanne Collins,Length: 10 hrs and 35 mins
Savage Son,By: Jack Carr,Length: 12 hrs and 56 mins
Interview with the Vampire,By: Anne Rice,Length: 14 hrs and 24 mins
A Court of Frost and Starlight,By: Sarah J. Maas,Length: 6 hrs and 23 mins
Greenlights,By: Matthew McConaughey,Length: 6 hrs and 42 mins
Verity,By: Colleen Hoover,Length: 8 hrs and 10 mins
An Echo in the Bone,By: Diana Gabaldon,Length: 45 hrs and 59 mins
The Outsiders,By: S. E. Hinton,Length: 5 hrs and 9 mins
Nonviolent Communication,By: Marshall Rosenberg PhD,Length: 5 hrs and 9 mins
Astrophysics for People in a Hurry,By: Neil deGrasse Tyson,Length: 3 hrs and 41 mins
"Hustle Harder, Hustle Smarter",By: Curtis 50 Cent Jackson,Length: 8 hrs and 16 mins
Reckless Heart,By: Brighton Walsh,Length: 7 hrs and 31 mins
How to Be an Adult in Relationships,By: David Richo,Length: 9 hrs and 20 mins
Lessons in Chemistry,By: Bonnie Garmus,Length: 11 hrs and 55 mins
Pride and Prejudice,By: Jane Austen,Length: 11 hrs and 35 mins
Iron Gold,By: Pierce Brown,Length: 23 hrs and 23 mins
The Dragon Reborn,By: Robert Jordan,Length: 24 hrs and 48 mins
Atlas Shrugged,By: Ayn Rand,Length: 62 hrs and 56 mins
"Listener's Audio Bible—New International Version, NIV: Complete Bible",By: Max McLean,Length: 75 hrs and 14 mins
The Time of Contempt,"By: Andrzej Sapkowski, David French - Translator",Length: 11 hrs and 55 mins
Love and Respect,By: Dr. Emerson Eggerichs,Length: 8 hrs and 47 mins
Baptism of Fire,"By: Andrzej Sapkowski, David French - Translator",Length: 11 hrs and 59 mins
Grit,By: Angela Duckworth,Length: 9 hrs and 22 mins
Zero to One,"By: Peter Thiel, Blake Masters",Length: 4 hrs and 50 mins
Scythe,By: Neal Shusterman,Length: 10 hrs and 32 mins
The E-Myth Revisited,By: Michael E. Gerber,Length: 8 hrs and 5 mins
The Simple Path to Wealth,By: JL Collins,Length: 6 hrs and 38 mins
Mastery,By: Robert Greene,Length: 16 hrs and 9 mins
Hatchet,By: Gary Paulsen,Length: 3 hrs and 42 mins
Getting Things Done,By: David Allen,Length: 10 hrs and 23 mins
Braving the Wilderness,By: Brené Brown,Length: 4 hrs and 12 mins
The Art of Seduction,By: Robert Greene,Length: 5 hrs and 9 mins
Slaughterhouse-Five,By: Kurt Vonnegut,Length: 5 hrs and 13 mins
Make Your Bed,By: William H. McRaven,Length: 1 hr and 53 mins
My Favorite Kidnapper,By: Melanie Moreland,Length: 8 hrs and 3 mins
The Grapes of Wrath,"By: John Steinbeck, Robert DeMott",Length: 21 hrs and 1 min
Mindhunter,"By: John E. Douglas, Mark Olshaker",Length: 15 hrs and 24 mins
Endurance,By: Alfred Lansing,Length: 10 hrs and 20 mins
Mere Christianity,By: C. S. Lewis,Length: 7 hrs and 6 mins
Blink,By: Malcolm Gladwell,Length: 7 hrs and 44 mins
Theodicy of Love,By: John C. Peckham,Length: 6 hrs and 12 mins
As a Man Thinketh,By: James Allen,Length: 55 mins
How to Talk So Kids Will Listen & Listen So Kids Will Talk,"By: Adele Faber, Elaine Mazlish",Length: 8 hrs and 24 mins
Hunter's Kiss,By: Veronica Douglas,Length: 12 hrs and 55 mins
Mimic & Me,"By: Cassius Lange, Ryan Tang",Length: 16 hrs and 57 mins
The Last Politician,By: Franklin Foer,Length: 12 hrs and 10 mins
Autobiography of a Yogi,By: Paramahansa Yogananda,Length: 17 hrs and 50 mins
Untangled,By: Lisa Damour,Length: 8 hrs and 37 mins
Stories I Only Tell My Friends,By: Rob Lowe,Length: 9 hrs and 10 mins
"Padre Rico, Padre Pobre [Rich Dad, Poor Dad]",By: Robert T. Kiyosaki,Length: 6 hrs and 24 mins
Beneath a Scarlet Sky,By: Mark Sullivan,Length: 17 hrs and 43 mins
The Tipping Point,By: Malcolm Gladwell,Length: 8 hrs and 34 mins
Coraline,By: Neil Gaiman,Length: 3 hrs and 35 mins
"Men Are from Mars, Women Are from Venus",By: John Gray,Length: 9 hrs and 28 mins
The Road,By: Cormac McCarthy,Length: 6 hrs and 39 mins
The Way I Hate Him,By: Meghan Quinn,Length: 15 hrs and 4 mins
The Housemaid's Secret,By: Freida McFadden,Length: 9 hrs and 44 mins
The Goal,"By: Eliyahu M. Goldratt, Jeff Cox",Length: 11 hrs and 45 mins
The Prince,By: Niccolo Machiavelli,Length: 4 hrs and 47 mins
The Two Towers,By: J. R. R. Tolkien,Length: 16 hrs and 40 mins
